	31867.fastq.gz.keep.blast8	32002.fastq.gz.keep.blast8	32006.fastq.gz.keep.blast8	32018.fastq.gz.keep.blast8	32025.fastq.gz.keep.blast8	32027.fastq.gz.keep.blast8	32043.fastq.gz.keep.blast8	33312.fastq.gz.keep.blast8	33314.fastq.gz.keep.blast8	
700099803_273053_[cov=10.000000]_1_2563_-	0	0	0	0	0	0	0	0	1	
700109242_70988_[cov=2.000000]_1_634_-	0	0	0	0	1	0	0	0	0	
700099803_266415_[cov=3.000000]_1_1558_+	0	1	0	1	1	1	0	0	0	
700109242_201680_[cov=20.000000]_1_2376_+	0	1	1	0	0	0	1	1	0	
700100600_126293_[cov=7.000000]_400_751_-	0	1	0	0	0	0	0	0	0	
700100600_218662_[cov=15.000000]_1509_3745_+	0	0	1	0	0	0	1	0	0	
700099803_aa90_1.5348	1	1	1	1	1	1	1	1	1	
700100600_193367_[cov=14.000000]_309_872_+	0	1	0	0	0	1	0	0	0	
700099803_292874_[cov=9.000000]_196_3493_-	1	1	1	0	0	1	1	1	1	
700099803_272513_[cov=8.000000]_1_2578_-	0	1	0	0	0	1	0	0	0	
700099803_8220_[cov=2.000000]_1_210_-	1	1	0	0	0	1	0	0	1	
700109242_186270_[cov=19.000000]_1_7265_-	0	1	1	0	1	0	1	1	0	
700109242_167761_[cov=14.000000]_389_2677_+	1	1	1	0	1	1	1	1	0	
700100600_210958_[cov=13.000000]_1_2513_+	0	1	0	1	0	0	0	0	0	
700109242_176603_[cov=14.000000]_1501_4128_+	1	1	1	0	1	1	1	1	0	
700109242_200602_[cov=5.000000]_16346_20606_-	0	1	1	1	1	1	1	1	0	
700099803_289398_[cov=9.000000]_1_7035_-	0	1	0	0	0	1	0	0	1	
700100600_196469_[cov=5.000000]_1223_4082_+	1	1	1	1	1	1	0	1	0	
700099803_309325_[cov=67.000000]_12742_21993_+	1	0	1	1	1	1	1	0	0	
700100600_216810_[cov=12.000000]_822_2731_+	1	1	1	1	1	1	1	1	1	
700109242_170290_[cov=10.000000]_312_2860_+	0	0	1	1	1	0	1	1	0	
700100600_219555_[cov=5.000000]_219_1342_+	1	1	0	1	0	1	0	0	1	
700100600_225388_[cov=47.000000]_1_3602_+	0	0	1	0	0	0	0	0	1	
700099803_266474_[cov=7.000000]_1_2940_-	0	1	0	1	0	1	0	0	1	
700100600_206587_[cov=16.000000]_44_2165_-	0	0	0	0	0	0	0	0	0	
700109242_166420_[cov=11.000000]_2_246_-	0	0	0	0	1	0	1	1	0	
700099803_310509_[cov=22.000000]_1_3143_-	0	1	1	0	0	1	1	1	0	
